vf,vi,tx,bx,cost(ms)
2,2,8,256.0,2.180464
2,2,16,128.0,1.075368
2,2,32,64.0,0.718744
2,2,64,32.0,0.380784
2,2,128,16.0,0.451168
2,2,256,8.0,0.436784
2,2,512,4.0,0.511944
2,2,1024,2.0,0.986392
2,4,8,256.0,2.027936
2,4,16,128.0,1.010768
2,4,32,64.0,0.689928
2,4,64,32.0,0.375696
2,4,128,16.0,0.441808
2,4,256,8.0,0.437248
2,4,512,4.0,0.510248
2,4,1024,2.0,0.986072
2,8,8,256.0,1.974496
2,8,16,128.0,0.994296
2,8,32,64.0,0.684496
2,8,64,32.0,0.381664
2,8,128,16.0,0.44304
2,8,256,8.0,0.436464
2,8,512,4.0,0.510552
2,8,1024,2.0,1.089424
4,2,8,128.0,1.425184
4,2,16,64.0,0.832144
4,2,32,32.0,0.460184
4,2,64,16.0,0.431544
4,2,128,8.0,0.561696
4,2,256,4.0,0.548568
4,2,512,2.0,0.654344
4,2,1024,1.0,1.22392
4,4,8,128.0,1.331176
4,4,16,64.0,0.786
4,4,32,32.0,0.4484
4,4,64,16.0,0.427816
4,4,128,8.0,0.555088
4,4,256,4.0,0.551528
4,4,512,2.0,0.658032
4,4,1024,1.0,1.226688
4,8,8,128.0,1.288832
4,8,16,64.0,0.774768
4,8,32,32.0,0.443424
4,8,64,16.0,0.433712
4,8,128,8.0,0.548912
4,8,256,4.0,0.543288
4,8,512,2.0,0.655704
4,8,1024,1.0,1.347064
8,2,8,64.0,1.657496
8,2,16,32.0,0.984512
8,2,32,16.0,0.872472
8,2,64,8.0,0.954152
8,2,128,4.0,0.961752
8,2,256,2.0,1.28932
8,2,512,1.0,2.060192
8,4,8,64.0,1.66928
8,4,16,32.0,0.9851359999999999
8,4,32,16.0,0.88464
8,4,64,8.0,0.967096
8,4,128,4.0,0.971256
8,4,256,2.0,1.287992
8,4,512,1.0,2.064264
8,8,8,64.0,1.64672
8,8,16,32.0,0.975328
8,8,32,16.0,0.879696
8,8,64,8.0,0.949272
8,8,128,4.0,0.955744
8,8,256,2.0,1.266616
