vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,cost(ms)
8,16,2,256,2,159.677024
8,16,4,128,2,79.588816
8,16,4,128,2,91.5632
8,16,8,64,2,39.758256
8,16,8,64,2,46.273976
8,16,8,64,2,46.242232
8,16,16,32,2,47.8852
8,16,16,32,2,47.570344
8,16,16,32,2,84.21556
8,16,32,16,2,35.698176
8,16,32,16,2,63.737312
8,16,32,16,2,126.392424
8,8,4,128,4,78.112824
8,8,8,64,4,39.614232
8,8,8,64,4,47.35704
8,8,16,32,4,39.774992
8,8,16,32,4,40.748208
8,8,16,32,4,49.455056
8,8,32,16,4,29.650896
8,8,32,16,4,29.928784
8,8,32,16,4,48.1538
8,4,8,64,8,9.194664
8,4,16,32,8,8.793272
8,4,16,32,8,9.292656
8,4,32,16,8,6.549848
8,4,32,16,8,6.841984
8,4,32,16,8,8.08452
8,2,16,32,16,12.04556
8,2,32,16,16,9.07252
8,2,32,16,16,9.41172
8,1,32,16,32,14.578008
4,16,4,256,2,285.313784
4,16,8,128,2,142.236528
4,16,8,128,2,153.969496
4,16,16,64,2,144.281776
4,16,16,64,2,156.278864
4,16,16,64,2,173.284008
4,16,32,32,2,118.512704
4,16,32,32,2,131.805192
4,16,32,32,2,194.216456
4,16,64,16,2,131.737616
4,16,64,16,2,193.478144
4,16,64,16,2,388.318304
4,8,8,128,4,11.8316
4,8,16,64,4,11.542568
4,8,16,64,4,11.707792
4,8,32,32,4,8.301216
4,8,32,32,4,8.81688
4,8,32,32,4,10.680816
4,8,64,16,4,8.328704
4,8,64,16,4,8.885808
4,8,64,16,4,10.779712
4,4,16,64,8,10.202704
4,4,32,32,8,7.792032
4,4,32,32,8,8.225336
4,4,64,16,8,7.684296
4,4,64,16,8,7.906816000000001
4,4,64,16,8,8.31376
4,2,32,32,16,10.356432
4,2,64,16,16,10.072696
4,2,64,16,16,10.647784
4,1,64,16,32,11.47088
2,16,8,256,2,144.804208
2,16,16,128,2,143.530224
2,16,16,128,2,159.35956
2,16,32,64,2,108.677464
2,16,32,64,2,118.194568
2,16,32,64,2,126.72576799999999
2,16,64,32,2,120.571232
2,16,64,32,2,129.922168
2,16,64,32,2,238.250056
2,16,128,16,2,118.416304
2,16,128,16,2,217.8584
2,16,128,16,2,421.563336
2,8,16,128,4,19.314056
2,8,32,64,4,14.495808
2,8,32,64,4,14.9064
2,8,64,32,4,14.203304
2,8,64,32,4,14.493704
2,8,64,32,4,14.918888
2,8,128,16,4,13.131168
2,8,128,16,4,13.338752
2,8,128,16,4,13.605152
2,4,32,64,8,13.96484
2,4,64,32,8,13.619136
2,4,64,32,8,14.04772
2,4,128,16,8,12.426312
2,4,128,16,8,12.645824
2,4,128,16,8,13.049944
2,2,64,32,16,16.59152
2,2,128,16,16,14.962384
2,2,128,16,16,15.587744
2,1,128,16,32,16.005312
