vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,cost(ms)
8,16,2,256,2,184.54064
8,16,4,128,2,92.357032
8,16,8,64,2,81.497384
8,16,16,32,2,167.341064
8,16,32,16,2,222.593856
8,8,2,256,4,141.57692
8,8,4,128,4,72.473696
8,8,8,64,4,50.9638
8,8,16,32,4,52.931632
8,8,32,16,4,95.591048
8,4,4,128,8,18.19824
8,4,8,64,8,9.581368
8,4,16,32,8,9.62552
8,4,32,16,8,8.411888
8,2,8,64,16,12.821152
8,2,16,32,16,12.827128
8,2,32,16,16,9.724992
8,1,16,32,32,15.345656
8,1,32,16,32,12.205928
4,16,2,512,2,571.06664
4,16,4,256,2,307.225976
4,16,8,128,2,171.037672
4,16,16,64,2,251.708456
4,16,32,32,2,384.803088
4,16,64,16,2,714.522672
4,8,4,256,4,24.294936
4,8,8,128,4,12.207048
4,8,16,64,4,12.1658
4,8,32,32,4,10.812632
4,8,64,16,4,10.797472
4,4,8,128,8,10.654808
4,4,16,64,8,10.609816
4,4,32,32,8,8.86536
4,4,64,16,8,8.993896
4,2,16,64,16,13.554392
4,2,32,32,16,11.406216
4,2,64,16,16,11.82512
4,1,32,32,32,11.803096
4,1,64,16,32,12.326024
2,16,4,512,2,290.219552
2,16,8,256,2,160.892512
2,16,16,128,2,166.959072
2,16,32,64,2,226.126128
2,16,64,32,2,448.751632
2,16,128,16,2,721.599344
2,8,8,256,4,21.629576
2,8,16,128,4,21.347216
2,8,32,64,4,15.327592
2,8,64,32,4,15.387568
2,8,128,16,4,15.04312
2,4,16,128,8,18.657456
2,4,32,64,8,15.687168000000002
2,4,64,32,8,15.832263999999999
2,4,128,16,8,15.773008
2,2,32,64,16,16.44084
2,2,64,32,16,16.493512
2,2,128,16,16,15.568472
2,1,64,32,32,17.216568
2,1,128,16,32,16.512224
