vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,cost(ms)
8,16,43,64,2,92.023272
8,16,86,32,2,181.405136
8,16,172,16,2,286.41056
8,16,344,8,2,500.01964
8,8,43,64,4,51.605416
8,8,86,32,4,75.060456
8,8,172,16,4,126.622544
8,8,344,8,4,221.750008
8,4,43,64,8,15.001936
8,4,86,32,8,15.777368
8,4,172,16,8,16.573768
8,4,344,8,8,18.25184
8,2,43,64,16,13.748824
8,2,86,32,16,14.200112
8,2,172,16,16,15.286256
8,2,344,8,16,18.022888
8,1,86,32,32,19.790752
8,1,172,16,32,18.948296
8,1,344,8,32,20.424952
4,16,43,128,2,231.268608
4,16,86,64,2,332.182632
4,16,172,32,2,620.982624
4,16,344,16,2,1101.839504
4,8,43,128,4,14.996704
4,8,86,64,4,14.895656
4,8,172,32,4,14.218184
4,8,344,16,4,16.007936
4,4,43,128,8,13.96516
4,4,86,64,8,13.868864
4,4,172,32,8,13.6054
4,4,344,16,8,16.082768
4,2,86,64,16,16.157696
4,2,172,32,16,15.471432
4,2,344,16,16,17.59752
4,1,172,32,32,23.554216
4,1,344,16,32,23.504912
2,16,43,256,2,228.678104
2,16,86,128,2,228.472528
2,16,172,64,2,348.229144
2,16,344,32,2,637.982848
2,8,43,256,4,25.688592
2,8,86,128,4,25.670888
2,8,172,64,4,24.070544
2,8,344,32,4,23.896736
2,4,86,128,8,25.405064
2,4,172,64,8,23.820264
2,4,344,32,8,23.068872
2,2,172,64,16,24.866992
2,2,344,32,16,24.077968
2,1,344,32,32,26.539616
