vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,cost(ms)
8,16,3,512,2,110.021752
8,16,4,384,2,85.087872
8,16,6,256,2,60.52888
8,16,8,192,2,44.203992
8,16,12,128,2,29.76364
8,16,16,96,2,52.054816
8,16,24,64,2,47.742856
8,16,32,48,2,72.641008
8,16,48,32,2,95.408624
8,16,96,16,2,162.684688
8,8,6,256,4,51.094816
8,8,8,192,4,40.45408
8,8,12,128,4,26.427904
8,8,16,96,4,41.15028
8,8,24,64,4,26.37508
8,8,32,48,4,38.893728
8,8,48,32,4,37.421784
8,8,96,16,4,62.454912
8,4,12,128,8,8.530512
8,4,16,96,8,11.551216
8,4,24,64,8,8.602088
8,4,32,48,8,9.454952
8,4,48,32,8,8.909304
8,4,96,16,8,10.154048
8,2,24,64,16,7.184712
8,2,32,48,16,8.489912
8,2,48,32,16,7.348896
8,2,96,16,16,8.246712
8,1,48,32,32,10.274512
8,1,96,16,32,10.482144
4,16,6,512,2,194.415296
4,16,8,384,2,147.28852
4,16,12,256,2,104.543376
4,16,16,192,2,158.4112
4,16,24,128,2,115.56608
4,16,32,96,2,172.04352
4,16,48,64,2,165.076656
4,16,64,48,2,244.084416
4,16,96,32,2,329.83492
4,16,192,16,2,604.318608
4,8,12,256,4,8.391288
4,8,16,192,4,11.504952
4,8,24,128,4,8.350488
4,8,32,96,4,9.023528
4,8,48,64,4,8.318152
4,8,64,48,4,8.998848
4,8,96,32,4,8.45268
4,8,192,16,4,9.394544
4,4,24,128,8,7.232272
4,4,32,96,8,8.313432
4,4,48,64,8,7.165184
4,4,64,48,8,8.450808
4,4,96,32,8,7.40088
4,4,192,16,8,8.912248
4,2,48,64,16,8.465
4,2,64,48,16,9.445848
4,2,96,32,16,8.667264
4,2,192,16,16,10.405672
4,1,96,32,32,12.769552
4,1,192,16,32,13.136256
2,16,12,512,2,106.232216
2,16,16,384,2,162.431656
2,16,24,256,2,114.180592
2,16,32,192,2,129.307376
2,16,48,128,2,115.02012
2,16,64,96,2,144.174624
2,16,96,64,2,183.615584
2,16,128,48,2,240.631632
2,16,192,32,2,345.306392
2,16,384,16,2,577.757848
2,8,24,256,4,13.314504
2,8,32,192,4,14.861936
2,8,48,128,4,13.309256
2,8,64,96,4,14.856032
2,8,96,64,4,13.30512
2,8,128,48,4,13.930912
2,8,192,32,4,13.613632
2,8,384,16,4,17.185032
2,4,48,128,8,12.99656
2,4,64,96,8,14.584176
2,4,96,64,8,12.972456
2,4,128,48,8,13.37984
2,4,192,32,8,12.977088
2,4,384,16,8,15.842231999999997
2,2,96,64,16,13.72548
2,2,128,48,16,14.054008
2,2,192,32,16,13.8164
2,2,384,16,16,16.884952
2,1,192,32,32,14.805736
2,1,384,16,32,15.709424
